# frame epoch HH:MM
DSCF0188 1779148232 16:50:32
DSCF0189 1779148238 16:50:38
DSCF0190 1779148242 16:50:42
DSCF0191 1779148248 16:50:48
DSCF0192 1779148254 16:50:54
DSCF0193 1779148260 16:51:00
DSCF0194 1779148264 16:51:04
DSCF0195 1779148268 16:51:08
DSCF0196 1779148274 16:51:14
DSCF0197 1779148280 16:51:20
DSCF0198 1779148290 16:51:30
DSCF0199 1779148294 16:51:34
DSCF0200 1779148298 16:51:38
DSCF0201 1779148302 16:51:42
DSCF0202 1779148314 16:51:54
DSCF0203 1779148320 16:52:00
DSCF0204 1779148334 16:52:14
DSCF0205 1779148340 16:52:20
DSCF0206 1779148344 16:52:24
DSCF0207 1779148348 16:52:28
DSCF0208 1779148412 16:53:32
DSCF0209 1779148450 16:54:10
DSCF0210 1779148458 16:54:18
DSCF0211 1779148462 16:54:22
DSCF0212 1779148466 16:54:26
DSCF0213 1779148470 16:54:30
DSCF0214 1779148474 16:54:34
DSCF0215 1779148480 16:54:40
DSCF0216 1779148486 16:54:46
DSCF0217 1779148490 16:54:50
DSCF0218 1779148494 16:54:54
DSCF0219 1779148498 16:54:58
DSCF0220 1779148506 16:55:06
DSCF0221 1779148510 16:55:10
DSCF0222 1779148514 16:55:14
DSCF0223 1779148520 16:55:20
DSCF0224 1779148530 16:55:30
DSCF0225 1779148532 16:55:32
DSCF0226 1779148536 16:55:36
DSCF0227 1779148542 16:55:42
DSCF0228 1779148544 16:55:44
DSCF0229 1779148548 16:55:48
DSCF0230 1779148552 16:55:52
DSCF0231 1779148558 16:55:58
DSCF0232 1779148562 16:56:02
DSCF0233 1779148568 16:56:08
DSCF0234 1779148572 16:56:12
DSCF0235 1779148576 16:56:16
DSCF0236 1779148580 16:56:20
DSCF0237 1779148584 16:56:24
DSCF0238 1779148592 16:56:32
DSCF0239 1779148596 16:56:36
DSCF0240 1779148604 16:56:44
DSCF0241 1779148608 16:56:48
DSCF0242 1779148610 16:56:50
DSCF0243 1779148614 16:56:54
DSCF0244 1779148616 16:56:56
DSCF0245 1779148622 16:57:02
DSCF0246 1779148628 16:57:08
DSCF0247 1779148630 16:57:10
DSCF0248 1779155000 18:43:20
DSCF0249 1779155000 18:43:20
DSCF0250 1779155006 18:43:26
DSCF0251 1779155010 18:43:30
DSCF0252 1779155016 18:43:36
DSCF0253 1779155020 18:43:40
DSCF0254 1779155030 18:43:50
DSCF0255 1779155040 18:44:00
DSCF0256 1779155044 18:44:04
DSCF0257 1779155046 18:44:06
DSCF0258 1779155050 18:44:10
DSCF0259 1779155054 18:44:14
DSCF0260 1779155058 18:44:18
DSCF0261 1779155062 18:44:22
DSCF0262 1779155070 18:44:30
DSCF0263 1779155074 18:44:34
DSCF0264 1779155078 18:44:38
DSCF0265 1779155082 18:44:42
DSCF0266 1779155084 18:44:44
DSCF0267 1779155228 18:47:08
DSCF0268 1779155270 18:47:50
DSCF0269 1779155278 18:47:58
DSCF0270 1779155282 18:48:02
DSCF0271 1779155286 18:48:06
DSCF0272 1779155298 18:48:18
DSCF0273 1779155304 18:48:24
DSCF0274 1779155308 18:48:28
DSCF0275 1779155314 18:48:34
DSCF0276 1779155320 18:48:40
DSCF0277 1779155328 18:48:48
DSCF0278 1779155334 18:48:54
DSCF0279 1779155340 18:49:00
DSCF0280 1779155346 18:49:06
DSCF0281 1779155352 18:49:12
DSCF0282 1779155358 18:49:18
DSCF0283 1779155364 18:49:24
DSCF0284 1779155368 18:49:28
DSCF0285 1779155372 18:49:32
DSCF0286 1779155378 18:49:38
DSCF0287 1779155382 18:49:42
DSCF0288 1779155386 18:49:46
DSCF0289 1779155392 18:49:52
DSCF0290 1779155396 18:49:56
DSCF0291 1779155400 18:50:00
DSCF0292 1779155406 18:50:06
DSCF0293 1779155410 18:50:10
DSCF0294 1779155418 18:50:18
DSCF0295 1779155422 18:50:22
DSCF0296 1779155426 18:50:26
DSCF0297 1779155436 18:50:36
DSCF0298 1779155442 18:50:42
DSCF0299 1779155452 18:50:52
DSCF0300 1779155456 18:50:56
DSCF0301 1779155458 18:50:58
DSCF0302 1779155464 18:51:04
DSCF0303 1779155472 18:51:12
DSCF0304 1779155476 18:51:16
DSCF0305 1779157312 19:21:52
DSCF0306 1779157362 19:22:42
DSCF0307 1779157368 19:22:48
DSCF0308 1779157376 19:22:56
DSCF0309 1779157382 19:23:02
DSCF0310 1779157386 19:23:06
DSCF0311 1779157390 19:23:10
DSCF0312 1779157396 19:23:16
DSCF0313 1779157400 19:23:20
DSCF0314 1779157410 19:23:30
DSCF0315 1779157418 19:23:38
DSCF0316 1779157424 19:23:44
DSCF0317 1779157434 19:23:54
DSCF0318 1779157438 19:23:58
DSCF0319 1779157442 19:24:02
DSCF0320 1779157446 19:24:06
DSCF0321 1779157452 19:24:12
DSCF0322 1779157456 19:24:16
DSCF0323 1779157474 19:24:34
DSCF0324 1779157478 19:24:38
DSCF0325 1779157484 19:24:44
DSCF0326 1779157488 19:24:48
DSCF0327 1779157494 19:24:54
DSCF0328 1779157502 19:25:02
DSCF0329 1779157508 19:25:08
DSCF0330 1779157514 19:25:14
DSCF0331 1779157520 19:25:20
DSCF0332 1779157524 19:25:24
DSCF0333 1779157528 19:25:28
DSCF0334 1779157538 19:25:38
DSCF0335 1779157544 19:25:44
DSCF0336 1779157554 19:25:54
DSCF0337 1779157558 19:25:58
DSCF0338 1779157564 19:26:04
DSCF0339 1779160190 20:09:50
DSCF0340 1779160196 20:09:56
DSCF0341 1779160200 20:10:00
DSCF0342 1779160204 20:10:04
DSCF0343 1779160252 20:10:52
DSCF0344 1779160332 20:12:12
DSCF0345 1779160338 20:12:18
DSCF0346 1779160350 20:12:30
DSCF0347 1779160354 20:12:34
DSCF0348 1779160358 20:12:38
DSCF0349 1779160360 20:12:40
DSCF0350 1779160364 20:12:44
DSCF0351 1779160368 20:12:48
DSCF0352 1779160374 20:12:54
DSCF0353 1779160380 20:13:00
DSCF0354 1779160386 20:13:06
DSCF0355 1779160392 20:13:12
DSCF0356 1779160396 20:13:16
DSCF0357 1779160400 20:13:20
DSCF0358 1779160404 20:13:24
DSCF0359 1779160408 20:13:28
DSCF0360 1779160416 20:13:36
DSCF0361 1779160422 20:13:42
DSCF0362 1779160428 20:13:48
DSCF0363 1779160430 20:13:50
DSCF0364 1779160436 20:13:56
DSCF0365 1779160440 20:14:00
